ColorCollectionID,ColorID,ColorName,ColorNumber1,ColorNumber2,ColorType,Counter
1157,111221,"4446-Y76R",,,0,32298
1157,111222,"4447-R81B",,,0,32299
1157,111223,"4521-G82Y",,,0,32300
1157,111224,"4538-G58Y",,,0,32301
1157,251346,"4540-B20G",,,0,32302
1157,111225,"4543-R49B",,,0,32303
1157,111226,"4612-R81B",,,0,32304
1157,111227,"4637-G31Y",,,0,32305
1157,111228,"4640-G04Y",,,0,32306
1157,111229,"4647-Y79R",,,0,32307
1157,111230,"4709-Y31R",,,0,32308
1157,111231,"4729-G98Y",,,0,32309
1157,111232,"4743-Y96R",,,0,32310
1157,111233,"4747-G40Y",,,0,32311
1157,111234,"4819-B42G",,,0,32312
1157,111235,"4831-R88B",,,0,32313
1157,111236,"4837-Y98R",,,0,32314
1157,111237,"4909-B84G",,,0,32315
1157,111238,"4910-G51Y",,,0,32316
1157,111239,"4925-R19B",,,0,32317
1157,111240,"4931-R73B",,,0,32318
1157,111241,"4934-Y20R",,,0,32319
1157,251354,"5005-B40G",,,0,32320
1157,251362,"5005-B60G",,,0,32321
1157,251382,"5005-G40Y",,,0,32322
1157,251396,"5005-G90Y",,,0,32323
1157,251297,"5005-R40B",,,0,32324
1157,251313,"5005-R70B",,,0,32325
1157,251260,"5005-R90B",,,0,32326
1157,251262,"5005-Y10R",,,0,32327
1157,251281,"5005-Y40R",,,0,32328
1157,111242,"5012-Y61R",,,0,32329
1157,111243,"5016-Y55R",,,0,32330
1157,111244,"5021-B60G",,,0,32331
1157,111245,"5023-Y01R",,,0,32332
1157,111246,"5027-R45B",,,0,32333
1157,111247,"5117-Y17R",,,0,32334
1157,111248,"5120-G59Y",,,0,32335
1157,111249,"5209-G28Y",,,0,32336
2791,42876,"20","PEMBA GRÖN",,0,32337
2791,42445,"23","PEMBA TURKOS",,0,32338
2791,41408,"22","PEMBA VIT",,0,32339
2791,41533,"24","PINGWE GRÅ",,0,32340
2791,118909,"26","PINGWE VIT",,0,32342
2791,2876,"Skarja","svart",,0,32343
2791,41383,"Smaila","svart",,0,32344
2791,403556,"Niak","varmvit",,0,32345
2791,403520,"Rinim","vit",,0,32346
2791,85867,"Skarja","vit",,0,32347
